Date,Inv No.,Bill No.,Bill Date,Party Name,ProjectNo,Item Name,Qty,Unit,Rate,CGST %,SGST %,IGST %,Net Amount,Total(QTY*Rate),Other taxable Charges(If Any),taxable Amt,CGST AMT,SGST AMT,IGST AMT,Total GST AMT,Final Discount,Round Off,Gross Amount
09-03-2024,AR/2324/1028          ,c4203                    ,29-02-2024,Mahavir Hardware Store                            ,consumable                                                                                          ,"Measuring Tape Freeman, 5 Mtr                     ",5.0,nos   ,110.17,9,9,,,550.85,,550.85,49.58,49.58,,99.16,,-0.49,650.01
09-03-2024,AR/2324/1028          ,c4203                    ,29-02-2024,Mahavir Hardware Store                            ,consumable                                                                                          ,Oxygen Cylinder                                   ,42.0,PCS   ,42.37,9,9,,,1779.54,,1779.54,160.16,160.16,,320.32,,-0.49,2099.86
09-03-2024,AR/2324/1028          ,c4203                    ,29-02-2024,Mahavir Hardware Store                            ,consumable                                                                                          ,"Right Angle 6""                                    ",1.0,nos   ,194.92,9,9,,,194.92,,194.92,17.54,17.54,,35.08,,-0.49,230.0
09-03-2024,AR/2324/1029          ,SE-23-24-460             ,2024-03-08 00:00:00,Shah Enterprise                                   ,M1040                                                                                               ,Allen Csk Bolt M8 x 25 mm Lg                      ,100.0,nos   ,22.15,,,18,6113.0,2215.0,,1209.39,,,217.69,217.69,-1005.61,-0.41,1427.08
09-03-2024,AR/2324/1029          ,SE-23-24-460             ,08-03-2024,Shah Enterprise                                   ,M1040                                                                                               ,Hex Bolt M10 x 130 mm lg Half Thread              ,90.0,nos   ,65.15,,,18,,5863.5,,3201.47,,,576.26,576.26,-2662.03,-0.41,3777.73
09-03-2024,AR/2324/1029          ,SE-23-24-460             ,08-03-2024,Shah Enterprise                                   ,M1040                                                                                               ,U Clamp M6 With Nut                               ,50.0,nos   ,22.0,,,18,,1100.0,,770.0,,,138.6,138.6,-330.0,-0.41,908.6
2024-03-11 00:00:00,AR/2324/1031          ,224                      ,2024-03-09 00:00:00,Viion Engineering                                 ,M1045                                                                                               ,Swivel Caster Housing                             ,24.0,nos   ,7800.0,9,9,,223020.0,187200.0,1800,189000.0,17010.0,17010.0,,34020.0,,,223020.0
11-03-2024,AR/2324/1032          ,23-24/4368               ,2024-03-08 00:00:00,Alloy Steel Corporation                           ,M1040                                                                                               ,MS Box Pipe (SHS) 25 x 25 x 3 mm Thk              ,72.0,kgs   ,68.0,9,9,,15620.0,4896.0,,4896.0,440.64,440.64,,881.28,,0.34,5777.28
11-03-2024,AR/2324/1032          ,23-24/4368               ,08-03-2024,Alloy Steel Corporation                           ,M1040                                                                                               ,MS Bright Flat 32 x 10 mm Thk                     ,15.2,kgs   ,62.0,9,9,,,942.4,95,1037.4,93.37,93.37,,186.74,,0.34,1224.14
11-03-2024,AR/2324/1032          ,23-24/4368               ,08-03-2024,Alloy Steel Corporation                           ,M1040                                                                                               ,MS Bright Flat 32 x 8 mm Thk                      ,11.8,kgs   ,62.0,9,9,,,731.6,,731.6,65.84,65.84,,131.68,,0.34,863.28
11-03-2024,AR/2324/1032          ,23-24/4368               ,08-03-2024,Alloy Steel Corporation                           ,M1040                                                                                               ,MS Bright Flat 65 x 12 mm Thk                     ,106.0,kgs   ,62.0,9,9,,,6572.0,,6572.0,591.48,591.48,,1182.96,,0.34,7754.96
11-03-2024,AR/2324/1033          ,S-10                     ,2024-03-09 00:00:00,Samay Engineering                                 ,M1040                                                                                               ,Roller Assembly Drg No : TOPL/CD/1600/001/09      ,252.0,nos   ,545.0,9,9,,162061.0,137340.0,,137340.0,12360.6,12360.6,,24721.2,,-0.2,162061.2
11-03-2024,AR/2324/1034          ,DHLLP/6168/23-24         ,2023-11-01 00:00:00,Dossa Harjee Can-Flooring LLP                     ,M1042                                                                                               ,Curtain OP - BT                                   ,2.0,nos   ,4200.0,,,12,9542.0,8400.0,120,8520.0,,,1022.4,1022.4,,-0.4,9542.4
2024-03-13 00:00:00,AR/2324/1035          ,DMN/0373/23-24           ,2024-03-11 00:00:00,JAINAM MULTI-PRODUCT (INDIA) PRIVATE LIMITED      ,Capital                                                                                             ,RFID Bolt Seal                                    ,10.0,nos   ,200.0,,,18,2360.0,2000.0,,2000.0,,,360.0,360.0,,,2360.0
13-03-2024,AR/2324/1036          ,SE-23-24-461             ,2024-03-09 00:00:00,Shah Enterprise                                   ,Consumable                                                                                          ,Allen CSK Screw M6 x 16mm Lg                      ,100.0,nos   ,14.73,,,18,3422.0,1473.0,,810.15,,,145.83,145.83,-662.85,-0.18,955.98
